Species,Island,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo)
Gentoo penguin (Pygoscelis papua),Biscoe,"(44.475, 45.85]","(15.2, 15.62]","(219.2, 222.15]","(5040.0, 5220.0]",MALE,"(8.589, 8.709]","(-26.857, -26.695]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(43.1, 44.475]","(13.52, 13.94]","(207.4, 210.35]","(4140.0, 4320.0]",FEMALE,"(8.47, 8.589]","(-26.857, -26.695]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(44.475, 45.85]","(14.78, 15.2]","(219.2, 222.15]","(4860.0, 5040.0]",MALE,"(8.589, 8.709]","(-26.857, -26.695]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(43.1, 44.475]","(14.36, 14.78]","(207.4, 210.35]","(4320.0, 4500.0]",FEMALE,"(8.47, 8.589]","(-27.019, -26.857]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(49.975, 51.35]","(15.2, 15.62]","(222.15, 225.1]","(5400.0, 5580.0]",MALE,"(8.709, 8.829]","(-26.857, -26.695]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(44.475, 45.85]","(13.52, 13.94]","(207.4, 210.35]","(4140.0, 4320.0]",FEMALE,"(8.589, 8.709]","(-26.857, -26.695]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(45.85, 47.225]","(14.78, 15.2]","(219.2, 222.15]","(5220.0, 5400.0]",MALE,"(8.589, 8.709]","(-26.857, -26.695]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(44.475, 45.85]","(13.52, 13.94]","(213.3, 216.25]","(4320.0, 4500.0]",FEMALE,"(8.589, 8.709]","(-26.695, -26.534]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(54.1, 55.475]","(15.62, 16.04]","(228.05, 231.0]","(5580.0, 5760.0]",MALE,"(8.47, 8.589]","(-26.857, -26.695]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(44.475, 45.85]","(13.94, 14.36]","(216.25, 219.2]","(4680.0, 4860.0]",FEMALE,"(8.589, 8.709]","(-26.695, -26.534]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(48.6, 49.975]","(16.46, 16.88]","(228.05, 231.0]","(5580.0, 5760.0]",MALE,"(8.47, 8.589]","(-26.695, -26.534]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(48.6, 49.975]","(16.04, 16.46]","(228.05, 231.0]","(5760.0, 5940.0]",MALE,"(8.47, 8.589]","(-26.857, -26.695]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(43.1, 44.475]","(13.94, 14.36]","(219.2, 222.15]","(4680.0, 4860.0]",FEMALE,"(8.589, 8.709]","(-26.695, -26.534]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(49.975, 51.35]","(14.78, 15.2]","(222.15, 225.1]","(5400.0, 5580.0]",MALE,"(8.589, 8.709]","(-26.857, -26.695]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(47.225, 48.6]","(14.78, 15.2]","(213.3, 216.25]","(4680.0, 4860.0]",FEMALE,"(8.47, 8.589]","(-26.857, -26.695]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(45.85, 47.225]","(15.2, 15.62]","(219.2, 222.15]","(4860.0, 5040.0]",MALE,"(8.35, 8.47]","(-26.857, -26.695]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(47.225, 48.6]","(15.2, 15.62]","(219.2, 222.15]","(5040.0, 5220.0]",MALE,"(8.231, 8.35]","(-26.695, -26.534]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(45.85, 47.225]","(14.78, 15.2]","(216.25, 219.2]","(5040.0, 5220.0]",FEMALE,"(8.47, 8.589]","(-26.695, -26.534]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(45.85, 47.225]","(14.78, 15.2]","(213.3, 216.25]","(4680.0, 4860.0]",FEMALE,"(8.47, 8.589]","(-27.019, -26.857]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(47.225, 48.6]","(15.62, 16.04]","(228.05, 231.0]","(5760.0, 5940.0]",MALE,"(8.589, 8.709]","(-26.857, -26.695]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(47.225, 48.6]","(13.94, 14.36]","(207.4, 210.35]","(4500.0, 4680.0]",FEMALE,"(8.35, 8.47]","(-26.857, -26.695]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(49.975, 51.35]","(16.04, 16.46]","(219.2, 222.15]","(5940.0, 6120.0]",MALE,"(8.35, 8.47]","(-26.857, -26.695]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(44.475, 45.85]","(13.52, 13.94]","(213.3, 216.25]","(4680.0, 4860.0]",FEMALE,"(8.231, 8.35]","(-26.695, -26.534]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(44.475, 45.85]","(16.04, 16.46]","(222.15, 225.1]","(5940.0, 6120.0]",MALE,"(8.111, 8.231]","(-26.695, -26.534]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(48.6, 49.975]","(14.36, 14.78]","(210.35, 213.3]","(4500.0, 4680.0]",FEMALE,"(8.35, 8.47]","(-26.372, -26.211]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(51.35, 52.725]","(15.2, 15.62]","(219.2, 222.15]","(5400.0, 5580.0]",MALE,"(8.231, 8.35]","(-26.372, -26.211]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(47.225, 48.6]","(14.36, 14.78]","(210.35, 213.3]","(4680.0, 4860.0]",FEMALE,"(8.111, 8.231]","(-26.372, -26.211]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(49.975, 51.35]","(15.62, 16.04]","(222.15, 225.1]","(5220.0, 5400.0]",MALE,"(8.111, 8.231]","(-26.534, -26.372]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(44.475, 45.85]","(13.52, 13.94]","(210.35, 213.3]","(4680.0, 4860.0]",FEMALE,"(8.111, 8.231]","(-26.211, -26.049]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(49.975, 51.35]","(16.88, 17.3]","(225.1, 228.05]","(5580.0, 5760.0]",MALE,"(8.231, 8.35]","(-26.372, -26.211]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(43.1, 44.475]","(14.36, 14.78]","(216.25, 219.2]","(4500.0, 4680.0]",FEMALE,"(8.231, 8.35]","(-26.211, -26.049]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(49.975, 51.35]","(13.94, 14.36]","(216.25, 219.2]","(5220.0, 5400.0]",MALE,"(8.111, 8.231]","(-26.372, -26.211]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(47.225, 48.6]","(13.94, 14.36]","(210.35, 213.3]","(4860.0, 5040.0]",FEMALE,"(8.111, 8.231]","(-26.372, -26.211]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(51.35, 52.725]","(16.88, 17.3]","(228.05, 231.0]","(5400.0, 5580.0]",MALE,"(8.231, 8.35]","(-26.211, -26.049]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(47.225, 48.6]","(14.78, 15.2]","(216.25, 219.2]","(4860.0, 5040.0]",FEMALE,"(8.231, 8.35]","(-26.211, -26.049]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(51.35, 52.725]","(16.88, 17.3]","(225.1, 228.05]","(5220.0, 5400.0]",MALE,"(8.35, 8.47]","(-26.049, -25.888]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(44.475, 45.85]","(14.36, 14.78]","(210.35, 213.3]","(4680.0, 4860.0]",FEMALE,"(8.111, 8.231]","(-26.372, -26.211]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(48.6, 49.975]","(16.04, 16.46]","(222.15, 225.1]","(5580.0, 5760.0]",MALE,"(8.829, 8.948]","(-25.726, -25.565]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(44.475, 45.85]","(14.36, 14.78]","(213.3, 216.25]","(4680.0, 4860.0]",FEMALE,"(8.111, 8.231]","(-26.211, -26.049]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(49.975, 51.35]","(15.62, 16.04]","(225.1, 228.05]","(5040.0, 5220.0]",MALE,"(8.231, 8.35]","(-26.211, -26.049]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(48.6, 49.975]","(15.62, 16.04]","(213.3, 216.25]","(4860.0, 5040.0]",MALE,"(7.991, 8.111]","(-26.211, -26.049]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(45.85, 47.225]","(14.36, 14.78]","(219.2, 222.15]","(4860.0, 5040.0]",FEMALE,"(7.872, 7.991]","(-26.049, -25.888]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(47.225, 48.6]","(14.36, 14.78]","(201.5, 204.45]","(4500.0, 4680.0]",FEMALE,"(8.111, 8.231]","(-26.211, -26.049]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(49.975, 51.35]","(16.46, 16.88]","(222.15, 225.1]","(5220.0, 5400.0]",MALE,"(8.111, 8.231]","(-26.372, -26.211]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(47.225, 48.6]","(14.78, 15.2]","(216.25, 219.2]","(4680.0, 4860.0]",FEMALE,"(7.991, 8.111]","(-26.211, -26.049]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(55.475, 56.85]","(16.88, 17.3]","(225.1, 228.05]","(5580.0, 5760.0]",MALE,"(8.231, 8.35]","(-26.372, -26.211]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(45.85, 47.225]","(15.2, 15.62]","(213.3, 216.25]","(4860.0, 5040.0]",FEMALE,"(8.231, 8.35]","(-26.372, -26.211]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(48.6, 49.975]","(14.78, 15.2]","(225.1, 228.05]","(5400.0, 5580.0]",MALE,"(8.589, 8.709]","(-25.888, -25.726]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(45.85, 47.225]","(16.04, 16.46]","(213.3, 216.25]","(5400.0, 5580.0]",MALE,"(8.231, 8.35]","(-26.211, -26.049]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(40.35, 41.725]","(14.36, 14.78]","(207.4, 210.35]","(4680.0, 4860.0]",FEMALE,"(8.111, 8.231]","(-26.534, -26.372]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(52.725, 54.1]","(15.62, 16.04]","(216.25, 219.2]","(5400.0, 5580.0]",MALE,"(8.35, 8.47]","(-26.372, -26.211]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(43.1, 44.475]","(13.94, 14.36]","(207.4, 210.35]","(4500.0, 4680.0]",FEMALE,"(8.35, 8.47]","(-26.534, -26.372]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(47.225, 48.6]","(14.78, 15.2]","(207.4, 210.35]","(5400.0, 5580.0]",MALE,"(8.35, 8.47]","(-26.372, -26.211]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(49.975, 51.35]","(14.78, 15.2]","(213.3, 216.25]","(4860.0, 5040.0]",FEMALE,"(8.231, 8.35]","(-26.211, -26.049]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(48.6, 49.975]","(15.62, 16.04]","(228.05, 231.0]","(5940.0, 6120.0]",MALE,"(8.231, 8.35]","(-26.211, -26.049]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(43.1, 44.475]","(14.78, 15.2]","(210.35, 213.3]","(4500.0, 4680.0]",FEMALE,"(8.111, 8.231]","(-26.211, -26.049]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(51.35, 52.725]","(16.04, 16.46]","(228.05, 231.0]","(5400.0, 5580.0]",MALE,"(8.709, 8.829]","(-25.888, -25.726]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(45.85, 47.225]","(13.94, 14.36]","(216.25, 219.2]","(4320.0, 4500.0]",FEMALE,"(8.231, 8.35]","(-26.049, -25.888]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(54.1, 55.475]","(15.62, 16.04]","(228.05, 231.0]","(5760.0, 5940.0]",MALE,"(7.991, 8.111]","(-26.211, -26.049]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(48.6, 49.975]","(16.04, 16.46]","(219.2, 222.15]","(5940.0, 6120.0]",MALE,"(8.231, 8.35]","(-25.888, -25.726]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(45.85, 47.225]","(13.52, 13.94]","(213.3, 216.25]","(4860.0, 5040.0]",FEMALE,"(7.991, 8.111]","(-26.211, -26.049]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(45.85, 47.225]","(13.94, 14.36]","(213.3, 216.25]","(4680.0, 4860.0]",FEMALE,"(8.35, 8.47]","(-26.211, -26.049]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(49.975, 51.35]","(15.62, 16.04]","(219.2, 222.15]","(5580.0, 5760.0]",MALE,"(8.231, 8.35]","(-26.049, -25.888]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(44.475, 45.85]","(14.78, 15.2]","(210.35, 213.3]","(5040.0, 5220.0]",FEMALE,"(8.231, 8.35]","(-26.211, -26.049]"
Gentoo penguin (Pygoscelis papua),Biscoe,"(48.6, 49.975]","(16.04, 16.46]","(210.35, 213.3]","(5220.0, 5400.0]",MALE,"(8.35, 8.47]","(-26.211, -26.049]"
